"action","agency_names","comment_url","comments_close_on","effective_on","html_url","pdf_url","publication_date","signing_date","title","topics","abstract"
"Notice.","Environmental Protection Agency","http://www.regulations.gov/#!submitComment;D=EPA-HQ-OPP-2016-0517-0001","05/22/2017","","https://www.federalregister.gov/documents/2016/11/21/2016-27982/notice-of-receipt-of-requests-to-voluntarily-cancel-certain-pesticide-registrations","https://www.gpo.gov/fdsys/pkg/FR-2016-11-21/pdf/2016-27982.pdf","11/21/2016","","Notice of Receipt of Requests to Voluntarily Cancel Certain Pesticide Registrations","","In accordance with the Federal Insecticide, Fungicide, and Rodenticide Act (FIFRA), EPA is issuing a notice of receipt of requests by registrants to voluntarily cancel certain pesticide registrations. EPA intends to grant these requests at the close of the comment period for this announcement unless the Agency receives substantive comments within the comment period that would merit its further review of the requests, or unless the registrants withdraw its requests. If these requests are granted, any sale, distribution, or use of products listed in this notice will be permitted after the registrations have been cancelled only if such sale, distribution, or use is consistent with the terms as described in the final order."
"Notice of receipt of petition and decision granting partial relief.","Transportation Department; National Highway Traffic Safety Administration","http://www.regulations.gov/#!submitComment;D=NHTSA-2016-0124-0001","09/14/2017","","https://www.federalregister.gov/documents/2016/11/28/2016-28476/general-motors-llc-receipt-of-petition-for-inconsequentiality-and-decision-granting-request-to-file","https://www.gpo.gov/fdsys/pkg/FR-2016-11-28/pdf/2016-28476.pdf","11/28/2016","","General Motors LLC, Receipt of Petition for Inconsequentiality and Decision Granting Request To File Out of Time and Request for Deferral of Determination","","On May 16, 2016, TK Holdings Inc. (Takata) filed a defect information report (DIR), in which it determined that a defect existed in certain passenger-side air bag inflators that it manufactured, including passenger inflators that it supplied to General Motors, LLC (GM) for use in certain GMT900 vehicles. GM has petitioned the Agency for a decision that, because of differences in inflator design and vehicle integration, the equipment defect determined to exist by Takata is inconsequential as it relates to motor vehicle safety in the GMT900 vehicles, and that GM should therefore be relieved of its notification and remedy obligations."
"Notice.","Health and Human Services Department; Food and Drug Administration","http://www.regulations.gov/#!submitComment;D=FDA-2016-E-0616-0005","05/31/2017","","https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo","https://www.gpo.gov/fdsys/pkg/FR-2016-12-02/pdf/2016-28917.pdf","12/02/2016","","Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO","","The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product."
"Notice.","Health and Human Services Department; Food and Drug Administration","http://www.regulations.gov/#!submitComment;D=FDA-2015-E-5107-0004","05/31/2017","","https://www.federalregister.gov/documents/2016/12/02/2016-28939/determination-of-regulatory-review-period-for-purposes-of-patent-extension-tresiba","https://www.gpo.gov/fdsys/pkg/FR-2016-12-02/pdf/2016-28939.pdf","12/02/2016","","Determination of Regulatory Review Period for Purposes of Patent Extension; TRESIBA","","The Food and Drug Administration (FDA) has determined the regulatory review period for TRESIBA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product."
"Notice.","Health and Human Services Department; Food and Drug Administration","http://www.regulations.gov/#!submitComment;D=FDA-2015-E-3159-0004","05/31/2017","","https://www.federalregister.gov/documents/2016/12/02/2016-28916/determination-of-regulatory-review-period-for-purposes-of-patent-extension-trumenba","https://www.gpo.gov/fdsys/pkg/FR-2016-12-02/pdf/2016-28916.pdf","12/02/2016","","Determination of Regulatory Review Period for Purposes of Patent Extension; TRUMENBA","","The Food and Drug Administration (FDA) has determined the regulatory review period for TRUMENBA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product."
"Proposed rule.","Agriculture Department; Agricultural Marketing Service","","04/24/2017","","https://www.federalregister.gov/documents/2016/12/05/2016-29017/regulations-issued-under-authority-of-the-export-apple-act-and-export-grapes-and-plums-changes-to","https://www.gpo.gov/fdsys/pkg/FR-2016-12-05/pdf/2016-29017.pdf","12/05/2016","","Regulations Issued Under Authority of the Export Apple Act and Export Grapes and Plums; Changes to Export Reporting Requirements","Administrative practice and procedure; Apples; Exports; Grapes; Pears; Plums; Reporting and recordkeeping requirements","This proposed rule would change the reporting of export certificate information under regulations issued pursuant to the Export Apple Act (7 CFR part 33) and the Export Grape and Plum Act (7 CFR part 35). This change would require shippers of apples and grapes exported from the United States to electronically enter an Export Form Certificate number or a USDA-defined exemption code into the Automated Export System (AES). This rule would also define ``shipper,'' shift the current file retention requirement from carriers to shippers, and require shippers to provide, upon request, copies of the certificates to the Agricultural Marketing Service (AMS). These changes would enable AMS to track exported apple and grape shipments to ensure that exports meet inspection and certification requirements. This action is also required to support the International Trade Data System (ITDS), a key White House economic initiative that will automate the filing of export and import information by the trade. This proposal would also remove obsolete regulations and make clarifying changes. It also announces AMS' intention to request revision to a currently approved information collection for exported apples and grapes."
"Notice.","Health and Human Services Department; Food and Drug Administration","","06/05/2017","","https://www.federalregister.gov/documents/2016/12/07/2016-29303/determination-of-regulatory-review-period-for-purposes-of-patent-extension-gardasil-9","https://www.gpo.gov/fdsys/pkg/FR-2016-12-07/pdf/2016-29303.pdf","12/07/2016","","Determination of Regulatory Review Period for Purposes of Patent Extension; GARDASIL 9","","The Food and Drug Administration (FDA) has determined the regulatory review period for GARDASIL 9 and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product."
"Notice and extension of comment period.","Health and Human Services Department; Centers for Disease Control and Prevention","","06/07/2017","","https://www.federalregister.gov/documents/2016/12/08/2016-29411/a-performance-test-protocol-for-closed-system-transfer-devices-used-during-pharmacy-compounding-and","https://www.gpo.gov/fdsys/pkg/FR-2016-12-08/pdf/2016-29411.pdf","12/08/2016","","A Performance Test Protocol for Closed System Transfer Devices Used During Pharmacy Compounding and Administration of Hazardous Drugs; Extension of Comment Period","","On September 15, 2016 the Director of the National Institute for Occupational Safety and Health (NIOSH) of the Centers for Disease Control and Prevention (CDC), published a notice in the Federal Register [81 FR 63482] announcing a public meeting and request for public comment on a draft testing protocol. Written comments were to be received by December 7, 2016. In response to a request from interested parties, NIOSH has extended the comment period until June 7, 2017. The longer timeframe will allow companies to acquire the proposed challenge agents and test their CSTDs with the proposed universal CSTD performance test protocol."
"Advance notice of proposed rulemaking; solicitation of comments.","Interior Department; Indian Affairs Bureau","http://www.regulations.gov/#!submitComment;D=BIA-2016-0007-0002","04/10/2017","","https://www.federalregister.gov/documents/2016/12/09/2016-29253/traders-with-indians","https://www.gpo.gov/fdsys/pkg/FR-2016-12-09/pdf/2016-29253.pdf","12/09/2016","","Traders With Indians","","The Department of the Interior (Department) is considering whether to propose an administrative rule that would comprehensively update 25 CFR part 140 (Licensed Indian Traders) in an effort to modernize the implementation of the Indian Trader statutes consistent with the Federal policies of Tribal self-determination and self- governance. The current regulations were promulgated in 1957 and have not been comprehensively updated since 1965. The purpose of this advance notice of proposed rulemaking (ANPRM) is to solicit public comments on whether and how the Department should update 25 CFR part 140, including how the Indian Trader regulations might be updated to govern who trades on Indian land and how the regulations can better promote Tribal self-determination regarding trade on Indian lands. In this ANPRM, the Department also announces dates and locations for Tribal consultations and public meetings to consider this issue."
"Extension of comment period.","Consumer Product Safety Commission","","04/24/2017","","https://www.federalregister.gov/documents/2016/12/13/2016-29845/safety-standard-for-portable-generators-notice-of-extension-of-comment-period","https://www.gpo.gov/fdsys/pkg/FR-2016-12-13/pdf/2016-29845.pdf","12/13/2016","","Safety Standard for Portable Generators; Notice of Extension of Comment Period","","The Consumer Product Safety Commission (Commission or CPSC) voted to publish a notice of proposed rulemaking (NPR) in the Federal Register on November 2, 2016, concerning portable generators. The NPR invited the public to submit written comments during a comment period that would close 75 days after the date of publication of the NPR in the Federal Register. In response to a request for an extension, the Commission is extending the comment period."
"Advance notice of proposed rulemaking (ANPRM).","Homeland Security Department; Transportation Security Administration","","05/15/2017","","https://www.federalregister.gov/documents/2016/12/16/2016-28300/surface-transportation-vulnerability-assessments-and-security-plans-vasp","https://www.gpo.gov/fdsys/pkg/FR-2016-12-16/pdf/2016-28300.pdf","12/16/2016","","Surface Transportation Vulnerability Assessments and Security Plans (VASP)","","The Transportation Security Administration (TSA) is issuing this ANPRM to request public comments on several topics relevant to the development of surface transportation vulnerability assessment and security plan regulations mandated by the Implementing Recommendations of the 9/11 Commission Act of 2007 (9/11 Act). Based on its regular interaction with stakeholders, TSA assumes many higher-risk railroads (freight and passenger), public transportation agencies, and over-the- road buses (OTRBs) have implemented security programs with security measures similar to those identified by the 9/11 Act's regulatory requirements. In general, TSA is requesting information on three types of issues. First, existing practices, standards, tools, or other resources used or available for conducting vulnerability assessments and developing security plans. Second, information on existing security measures, including whether implemented voluntarily or in response to other regulatory requirements, and the potential impact of additional requirements on operations. Third, information on the scope/cost of current security systems and other measures used to provide security and mitigate vulnerabilities. This information is necessary for TSA to establish the current baseline, estimate cost of implementing the statutory mandate, and develop appropriate performance standards. While TSA will review and consider all comments submitted, TSA invites responses to a number of specific questions posed in the ANPRM. See the Comments Invited section under SUPPLEMENTARY INFORMATION that follows."
